created_at,product_id,merchant_id,total_volume_sold,price,_meta
2024-10-06 00:00:00,75410913413,31928548,120,13500,"{""created_at"": ""2024-10-06T20:05:56"", xxxxx3@gmail.com"", ""page_url"": ""https://shopee.co.id/autumnofficialstore?page=5&sortBy=pop&tab=0https://shopee.co.id/shop/72375863"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 217880}"
2024-10-06 00:00:00,64229192967,31928548,131,58500,"{""created_at"": ""2024-10-06T20:05:56"", xxxxx2@gmail.com"", ""page_url"": ""https://shopee.co.id/autumnofficialstore?page=5&sortBy=pop&tab=0https://shopee.co.id/shop/72375863"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 217880}"
2024-10-06 00:00:00,27195593454,39943822,759,30900,"{""created_at"": ""2024-10-06T14:49:45"", xxxxx4@gmail.com"", ""page_url"": ""https://shopee.co.id/AZARINE-AHA-BHA-Miraclear-Herbal-Peeling-Serum-20mL-i.39943822.7195593454?sp_atk=415ad7a6-1040-475c-abea-2e570c1a17c6"", ""api_url"": ""/api/v4/pdp/get_pc?item_id=7195593454&shop_id=39943822&tz_offset_minutes=420&detail_level=0&"", ""method"": ""PDP""}"
2024-10-06 00:00:00,82982711038,2836441,17,45000,"{""created_at"": ""2024-10-06T17:00:41"", xxxxx4@gmail.com"", ""page_url"": ""https://shopee.co.id/Azarine-Hair-Spa-Apricot-200gr-i.2836441.2982711038?sp_atk=da2be450-0841-422a-be69-e605191c1089"", ""api_url"": ""https://shopee.co.id/api/v4/pdp/get_pc?item_id=2982711038&shop_id=2836441&tz_offset_minutes=420&detail_level=0&"", ""method"": ""PDP""}"
2024-10-06 00:00:00,48873751692,28053737,14025,299000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx3@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,3622037301,28053737,13504,59000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx3@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,73693517689,28053737,5106,299000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx3@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,5405769670,28053737,29368,219000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx3@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,11846203136,28053737,1738,199000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx2@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,2418104820,28053737,4584,169000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx2@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
2024-10-06 00:00:00,710746217139,28053737,835,199000,"{""created_at"": ""2024-10-06T09:36:44"", xxxxx1@gmail.com"", ""page_url"": ""https://shopee.co.id/shop/28053737"", ""api_url"": ""/api/v4/shop/rcmd_items"", ""method"": ""Merchant"", ""id"": 208594}"
